case,method,M,mu,iterations,converged,residual_norm,theta,grad_norm,terminal_error,z,decision_dim,direct_decision_dim,runtime_seconds,optimizer_success,objective_value,terminal_constraint_residual,terminal_objective
case0_integrator_xt_0p5,gn,200,0.001,5,True,2.35829933359355e-09,2.7807878734138906e-18,1.5348888243693958e-06,0.0005764609023677925,[0.000576],1,200,0.17965289996936917,True,1.6615358597934478e-07,,
case0_integrator_direct_xt_0p5,direct,200,,2,True,,1.375922870869129e-27,3.709343433640419e-15,5.2458037913538647e-14,,200,200,0.026568099856376648,True,1.375922870869129e-27,,
case0_integrator_xt_2,gn,200,0.001,1,True,2.3651785396872071e-07,2.7970347622984548e-14,2.3651809027807367e-07,1.0000004999993575,[1.],1,200,0.043345400132238865,True,0.5000004999994825,,
case0_integrator_direct_xt_2,direct,200,,2,True,,0.49999999999999933,0.0707106781186547,0.9999999999999993,,200,200,0.022592599969357252,True,0.49999999999999933,,
case1_q0_m2,gn,200,0.001,10,True,9.134596434812181e-08,4.17204260134417e-15,3.920394824019341e-05,0.0009304382979233861,[0.000931],1,200,0.24428179999813437,True,4.328577131212839e-07,,
case1_q0_0,gn,200,0.001,5,True,2.0671496514523824e-08,2.136553840749853e-16,8.871815387323592e-06,0.0009305088078744861,[0.000931],1,200,0.12355719995684922,True,4.3292332076599864e-07,,
case1_q0_2,gn,200,0.001,10,True,3.034279427716058e-08,4.603425822730444e-16,1.3022552938441694e-05,0.0009304991590896039,[0.000931],1,200,0.23357479996047914,True,4.3291434253323e-07,,
case2_gn,gn,200,0.001,6,True,9.611715278684222e-10,4.619253529924586e-19,4.208140463937722e-07,0.0025894090717031265,[-0.000117; 0.002587],2,200,0.17266069981269538,True,3.3525196703092234e-06,,
case2_gradient,gradient,200,0.001,120,False,0.16459069333226856,0.013545048165798436,0.7405036664853638,0.15256759751294607,[-0.000986; 0.011989],2,200,8.68037770013325,False,0.011638435905436154,,
case2_M_50,gn,50,0.001,12,True,4.72463286816128e-09,1.1161077869454945e-17,1.8392086410685845e-06,0.0027266190251756645,[-5.071578e-05; 2.726151e-03],2,50,0.09719969984143972,True,3.7172256542249455e-06,,
case2_M_100,gn,100,0.001,12,True,4.357579941148966e-10,9.494251471751912e-20,1.878098492956708e-07,0.002632098043135861,[-9.516370e-05; 2.630378e-03],2,100,0.20499409991316497,True,3.4639700543398146e-06,,
case2_M_200,gn,200,0.001,10,True,3.843629662914718e-09,7.386744492818954e-18,1.920035639984107e-06,0.0025894072156484467,[-0.000117; 0.002587],2,200,0.3476136999670416,True,3.3525148642261207e-06,,
case2_M_400,gn,400,0.001,12,True,2.194655447454305e-09,2.4082562665204282e-18,9.758553513578362e-07,0.002569114251085932,[-0.000127; 0.002566],2,400,0.755418400047347,True,3.3001740175664146e-06,,
case2_M_800,gn,800,0.001,12,True,7.326516330100994e-09,2.6838920767618267e-17,1.263230538456463e-06,0.0025592282904054724,[-0.000133; 0.002556],2,800,1.5900115999393165,True,3.2748247212058584e-06,,
case2_direct_M_200,direct,200,,11,True,,1.5708427897015762e-16,1.7151109454644777e-09,1.7724800405068762e-08,,200,200,0.07608809997327626,True,1.5708427897015762e-16,,
case3_lambda0_m3,gn,200,0.001,7,True,1.7312791339429978e-07,1.4986637198132082e-14,6.984753804160175e-08,,[-2.292682],1,200,0.1653207999188453,True,-0.6602687940800651,1.7312791339429978e-07,-0.6602687940800651
case3_lambda0_m2p5,gn,200,0.001,9,True,3.9314845753923855e-09,7.728285483274124e-18,1.5857478567733262e-09,,[-2.292682],1,200,0.25166419986635447,True,-0.6602691721085121,3.9314845753923855e-09,-0.6602691721085121
case3_lambda0_m2,gn,200,0.001,7,True,7.96867466987955e-07,3.1749887997189975e-13,3.2178243617068334e-07,,[-2.292684],1,200,0.18796070013195276,True,-0.6602674004850687,7.96867466987955e-07,-0.6602674004850687
case4_mu_1em01,gn,200,0.1,5,True,2.696079633298787e-12,3.634422694544261e-24,1.7709883218821205e-11,0.1481973584887732,[0.001659;0.148188],2,200,0.1532594000454992,True,0.010981228531524978,,
case4_mu_1em02,gn,200,0.01,5,True,3.917264342733361e-07,7.672479965425116e-14,1.754579650911277e-05,0.023543234854152766,[-0.000903; 0.023526],2,200,0.14403329999186099,True,0.0002771419536988968,,
case4_mu_1em03,gn,200,0.001,6,True,9.611715278684222e-10,4.619253529924586e-19,4.208140463937722e-07,0.0025894090717031265,[-0.000117; 0.002587],2,200,0.1773577998392284,True,3.3525196703092234e-06,,
case4_bangbang,gn,200,0.0,120,False,0.17147824409822535,0.01470239409950528,32670.23575650452,0.17147734914444632,[-6.786225e-08; 8.938254e-07],2,200,18.57213220000267,False,0.014702240634803172,,
case5_medium4d_gn,gn,200,0.001,4,True,5.05655147958603e-09,1.2784356432851835e-17,6.078324174790794e-06,0.001081697798158969,[ 8.566337e-04;-4.475097e-05;-6.220212e-04; 2.175820e-04],4,400,0.17878429987467825,True,5.850350632709808e-07,,
case5_medium4d_direct,direct,200,,8,True,,6.841836945463338e-19,1.4536968829125175e-10,1.1697720616558134e-09,,400,400,0.05393489985726774,True,6.841836945463338e-19,,
